-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2022 
Location: Latitude  17.25   Longitude 80.42 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 160.6 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
TS                  MERRA-2 Earth Skin Temperature (C) 
T2M                 MERRA-2 Temperature at 2 Meters (C) 
QV2M                MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS10M               MERRA-2 Wind Speed at 10 Meters (m/s) 
T2MDEW              MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET              MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
T2M_MAX             MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN             MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M_RANGE           MERRA-2 Temperature at 2 Meters Range (C) 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
TS,2000,25.62,28.48,31.31,36.56,35.12,28.33,27.32,26.45,26.44,25.26,23.64,21.75,28.01
TS,2001,25.31,28.53,33.38,32.93,36.08,29.7,28.74,26.46,26.97,25.4,23.63,21.37,28.2
TS,2002,23.73,28.6,33.17,36.69,38.53,30.49,29.59,26.89,27.3,25.77,23.24,23.59,28.97
TS,2003,25.06,29.98,32.52,36.28,38.57,33.26,27.09,26.43,26.4,25.43,21.87,20.03,28.55
TS,2004,21.81,25.63,32.76,36.1,33.35,30.57,27.14,27.09,26.73,25.24,22.5,21.88,27.56
TS,2005,25.55,28.57,33.07,35.78,36.44,32.08,27.53,26.52,26.17,25.49,20.28,19.42,28.07
TS,2006,20.65,26.46,31.78,34.82,33.11,30.27,28.68,26.12,26.34,25.45,22.99,20.36,27.24
TS,2007,22.0,26.4,32.45,36.05,37.97,30.38,27.46,26.67,26.3,23.83,21.03,21.47,27.67
TS,2008,22.73,26.56,29.97,33.25,37.05,29.55,28.11,26.35,26.09,24.91,22.62,22.55,27.48
TS,2009,24.53,29.4,32.94,36.44,34.19,30.94,28.29,27.51,27.25,25.49,24.43,23.14,28.69
TS,2010,24.57,29.48,34.22,36.29,35.37,31.09,27.15,26.75,25.98,25.51,24.27,19.49,28.33
TS,2011,19.62,25.05,31.2,34.44,35.93,30.59,28.51,27.01,26.62,26.63,25.36,25.01,28.01
TS,2012,25.16,28.48,32.45,35.25,35.07,31.75,27.48,26.38,26.33,24.8,22.23,21.51,28.06
TS,2013,24.18,26.98,31.82,34.8,36.37,28.86,26.78,26.54,26.51,25.5,22.6,19.55,27.54
TS,2014,22.41,25.62,31.24,36.48,33.91,34.37,29.52,27.9,26.82,26.36,23.86,23.12,28.47
TS,2015,23.98,27.85,32.44,35.0,37.18,29.0,28.88,27.79,27.04,26.94,25.44,25.26,28.9
TS,2016,25.18,29.72,32.86,36.62,35.53,29.18,26.97,27.05,26.1,24.22,21.7,21.98,28.08
TS,2017,24.09,28.19,32.51,37.01,35.41,29.16,27.19,26.48,26.76,25.65,22.73,20.84,27.99
TS,2018,22.73,27.61,32.95,35.4,34.57,30.46,27.56,26.3,26.45,25.73,26.35,23.82,28.32
TS,2019,22.32,28.32,33.31,36.12,37.0,32.29,29.62,26.97,26.62,25.92,23.18,22.8,28.7
TS,2020,24.98,28.12,32.59,35.72,36.96,29.9,27.41,26.33,26.74,25.38,23.3,19.89,28.1
TS,2021,23.06,25.75,32.1,34.19,33.81,29.5,27.26,27.18,26.66,25.93,24.28,21.02,27.57
TS,2022,22.01,25.88,33.19,36.71,34.51,30.81,26.79,26.7,26.5,24.72,22.33,23.33,27.8
T2M,2000,24.46,26.83,29.35,33.96,33.33,27.95,27.21,26.45,26.48,25.64,23.75,22.37,27.31
T2M,2001,24.41,27.23,31.01,30.9,34.47,29.1,28.46,26.44,26.98,25.65,23.54,21.21,27.45
T2M,2002,23.08,26.76,30.8,33.63,36.28,29.87,29.15,26.86,27.17,25.82,23.68,23.37,28.05
T2M,2003,24.11,27.9,30.24,33.55,36.22,32.14,27.05,26.51,26.44,25.6,22.51,20.44,27.72
T2M,2004,21.46,24.65,30.57,33.55,31.8,29.97,27.07,27.15,26.65,25.28,22.55,21.44,26.84
T2M,2005,24.49,27.19,30.64,33.08,34.07,31.25,27.4,26.57,26.31,25.61,20.88,20.25,27.3
T2M,2006,21.63,25.82,29.74,32.5,31.77,29.6,28.51,26.25,26.36,25.82,23.33,21.12,26.87
T2M,2007,22.08,25.17,30.15,33.13,35.67,29.76,27.41,26.72,26.41,24.09,21.75,21.73,27.01
T2M,2008,22.55,25.48,28.32,31.4,35.38,29.15,27.92,26.42,26.17,25.19,23.05,23.06,27.01
T2M,2009,23.84,27.89,30.81,33.69,32.66,30.29,28.16,27.33,27.26,25.68,24.34,22.9,27.9
T2M,2010,23.87,27.66,31.92,33.82,33.75,30.42,27.05,26.78,26.11,25.6,24.41,20.17,27.62
T2M,2011,20.19,24.23,29.16,31.64,33.95,30.06,28.14,27.01,26.69,26.45,24.6,24.15,27.2
T2M,2012,24.1,26.93,30.48,32.76,33.54,31.09,27.37,26.46,26.43,25.05,22.54,21.57,27.35
T2M,2013,23.5,25.58,29.62,32.28,34.51,28.48,26.76,26.47,26.46,25.58,22.93,20.28,26.87
T2M,2014,22.26,24.69,29.29,33.65,32.32,33.17,29.12,27.63,26.77,26.0,23.52,22.45,27.58
T2M,2015,22.94,26.12,29.96,32.19,34.79,28.65,28.8,27.7,26.95,26.79,24.8,24.35,27.85
T2M,2016,24.23,28.02,30.65,33.92,33.73,28.76,26.99,27.12,26.1,24.4,22.19,21.96,27.33
T2M,2017,23.44,26.84,30.23,34.27,33.64,28.83,27.33,26.53,26.81,25.83,23.06,20.98,27.31
T2M,2018,22.51,26.25,30.69,32.76,32.53,29.8,27.51,26.44,26.51,25.85,25.48,23.23,27.46
T2M,2019,22.02,26.65,30.83,33.37,34.77,31.43,29.07,27.06,26.63,26.01,23.41,22.41,27.8
T2M,2020,23.99,26.37,30.17,32.96,34.44,29.33,27.26,26.51,26.76,25.55,23.47,20.68,27.29
T2M,2021,23.01,24.87,30.15,31.94,32.2,28.99,27.21,27.15,26.73,25.99,24.35,21.29,27.0
T2M,2022,21.72,24.76,30.95,33.73,32.8,30.15,26.82,26.78,26.57,24.81,22.68,23.25,27.09
QV2M,2000,8.61,12.7,10.5,13.43,14.71,18.07,18.43,18.92,18.8,16.72,13.0,8.3,14.34
QV2M,2001,9.16,8.54,11.9,14.89,14.89,16.91,17.33,18.68,18.8,17.52,14.77,9.64,14.47
QV2M,2002,10.74,10.07,11.47,13.37,13.43,18.07,17.46,18.43,17.82,16.48,11.66,10.31,14.16
QV2M,2003,10.13,11.72,12.02,13.18,11.72,15.75,18.92,19.17,19.1,17.82,13.43,11.35,14.53
QV2M,2004,11.23,10.44,11.05,13.73,16.36,16.97,18.74,18.62,18.92,17.09,12.7,10.01,14.65
QV2M,2005,11.05,10.38,12.02,13.73,15.14,17.15,18.8,19.04,19.35,18.37,12.57,11.35,14.95
QV2M,2006,9.83,9.7,12.39,13.92,17.15,17.58,18.07,18.8,18.92,16.85,15.14,12.21,15.08
QV2M,2007,11.17,11.23,11.84,13.24,13.43,18.25,19.1,19.17,19.53,15.87,12.88,11.72,14.77
QV2M,2008,9.7,12.08,12.57,14.28,11.47,17.15,18.37,19.1,18.74,16.6,13.98,11.9,14.65
QV2M,2009,10.68,9.95,10.13,12.45,16.36,17.46,18.01,18.86,19.53,15.69,14.83,11.11,14.59
QV2M,2010,10.07,10.38,11.35,14.65,16.17,18.01,19.17,19.23,19.04,18.13,16.91,12.15,15.44
QV2M,2011,10.8,12.08,11.47,13.85,14.89,17.09,18.31,18.86,18.68,16.24,11.84,9.7,14.47
QV2M,2012,10.62,8.91,9.77,13.85,15.56,15.93,18.49,18.68,18.98,16.42,14.59,11.96,14.53
QV2M,2013,11.54,10.86,10.93,14.04,14.95,18.13,18.31,18.68,18.86,18.01,14.71,11.66,15.08
QV2M,2014,12.02,10.8,11.17,11.47,16.05,15.44,17.27,18.31,18.25,16.24,12.45,9.83,14.16
QV2M,2015,8.48,9.28,11.23,13.49,13.92,18.25,18.31,18.86,18.68,16.24,14.04,11.41,14.34
QV2M,2016,9.09,11.23,12.02,13.0,15.2,18.55,19.04,18.86,18.98,16.05,12.63,10.38,14.59
QV2M,2017,8.85,9.16,11.47,12.21,15.38,18.74,18.92,19.1,19.59,17.88,14.4,10.25,14.71
QV2M,2018,8.54,8.79,10.13,14.1,16.3,17.64,18.49,18.74,18.37,15.75,12.88,11.29,14.28
QV2M,2019,9.77,10.8,12.08,13.06,14.71,17.33,17.82,19.17,19.41,18.37,14.95,12.82,15.01
